Elmntkey,Study_Area,Area_ID,Day_of_Week,Time,Parking_Spaces,Total_Vehicle_Count
24557,12th Ave,1,3,0.25,11,7
24557,12th Ave,1,3,0.17,11,10
24557,12th Ave,1,3,1.08,11,10
24557,12th Ave,1,3,0.5,11,8
24557,12th Ave,1,3,0.92,11,12
24557,12th Ave,1,3,0.58,11,10
24557,12th Ave,1,3,0.08,11,6
24557,12th Ave,1,3,0.75,11,12
2066,15th Avenue,2,4,0.75,13,12
2066,15th Avenue,2,4,0.42,13,10
2066,15th Avenue,2,4,0.67,13,12
2066,15th Avenue,2,4,0.92,13,13
2066,15th Avenue,2,4,0.33,13,11
2066,15th Avenue,2,4,0.58,13,7
2066,15th Avenue,2,4,1,13,14
2066,15th Avenue,2,4,0.17,13,2
2066,15th Avenue,2,4,0.08,13,1
2066,15th Avenue,2,4,0.83,13,11
2066,15th Avenue,2,4,0.5,13,10
2066,15th Avenue,2,4,0,13,3
2066,15th Avenue,2,4,0.25,13,4
71574,Ballard,3,4,0.75,24,9
41721,Ballard,3,4,0.67,12,9
13045,Ballard,3,4,0.08,27,16
13046,Ballard,3,5,0.92,12,8
64318,Ballard,3,5,0.33,18,14
56653,Ballard,3,4,0.33,35,26
26497,Ballard,3,4,0.08,14,4
86369,Ballard,3,4,0,16,12
35486,Ballard,3,4,0.75,42,40
70997,Ballard,3,5,0.58,13,14
41726,Ballard,3,4,0.33,61,31
86449,Ballard,3,4,0.17,43,23
3337,Ballard,3,5,0.08,16,10
9114,Ballard,3,4,0.08,12,5
87261,Ballard,3,4,0.92,34,8
19422,Ballard,3,4,0.08,14,16
12689,Ballard,3,4,0.5,22,28
70998,Ballard,3,4,0.92,22,28
13046,Ballard,3,4,0.08,18,17
3082,Ballard,3,4,0.08,12,4
31854,Ballard,3,5,1.08,28,26
41030,Ballard,3,5,0.25,18,9
3338,Ballard,3,4,0,31,2
76962,Ballard,3,4,0.17,22,22
35486,Ballard,3,4,0.58,42,40
